ID,State,Type,Address,Price,Bedroom,Bathroom,Parking
438352292,NSW,Apartment,"60/24 Walker St, Rhodes","$1,000 per week",2 bedrooms,2 bathrooms,2 parking spaces
438352284,NSW,Apartment,"C201/28 Cambridge Street, Epping",$600 per week,1 bedroom,1 bathroom,
438352280,NSW,Unit,"5/67 Womboin Road, Lambton",$450 pw,1 bedroom,1 bathroom,1 parking space
438352276,NSW,Apartment,"59/20 Illawong Avenue, Tamarama",$1500 per week,1 bedroom,1 bathroom,1 parking space
438352256,NSW,Unit,"104/91D Bridge Road, Westmead",$640 Per Week,2 bedrooms,2 bathrooms,1 parking space
438352236,NSW,Apartment,"414/44 Shoreline Drive, Rhodes",$750 pw,2 bedrooms,study,1 bathroom
438352196,NSW,House,"14 Koora Place, Wagga Wagga",$420 per week,3 bedrooms,1 bathroom,2 parking spaces
438352180,NSW,Apartment,"1/157 Edwin Street North, Croydon",$600 p/w,2 bedrooms,1 bathroom,1 parking space
438352176,NSW,Apartment,"4/28 Monomeeth Street, Bexley",$630 per week,2 bedrooms,study,1 bathroom
438352160,NSW,House,"14 Norfolk Street, Fern Bay",$685 per week,4 bedrooms,2 bathrooms,2 parking spaces
438352156,NSW,House,"1/4 Robb Street, Belmont",$520 per week,2 bedrooms,1 bathroom,1 parking space
438352148,NSW,House,"3 Edward Windeyer Way, Raymond Terrace",$600 per week,4 bedrooms,2 bathrooms,2 parking spaces
438352132,NSW,Townhouse,"2/97 Deakin St, Silverwater",$360 / Wk,1 bedroom,1 bathroom,
438352116,NSW,House,"12A Boyd Street, Cabramatta West",$1000,5 bedrooms,3 bathrooms,2 parking spaces
438352120,NSW,Townhouse,"13/14 Reef Street, Nirimba Fields",$535,2 bedrooms,1 bathroom,1 parking space
438352108,NSW,Apartment,"45 Shelley St, Sydney",$1000 per week,2 bedrooms,2 bathrooms,1 parking space
438352104,NSW,House,"409A Macquarie Street, Dubbo",$550 per week,4 bedrooms,3 bathrooms,2 parking spaces
