Nama,Lokasi,Kontak,Parkir,Kategori,URL Tenant
FITNESS FIRST,2F-62,02129111300,3 near LOBBY LIFT C,Sport & Lifestyle,https://lippomallpuri.com/tenantDetail?tenant=27660ee660
Flying Tiger,G-31,,3 near Lift B,"Books Gifts, Hobbies",https://lippomallpuri.com/tenantDetail?tenant=4652228c24
Fogo Brazilian Bbq,G-10-B,,3 near Lift C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=d01011d5c1
FONEL,1F-81,Visit Tenant Official Website,3 near LOBBY LIFT B,"Electronics, Gadgets, HP",https://lippomallpuri.com/tenantDetail?tenant=b3e73e83b8
FOOD AVENUE,1F-68,02129111070,3 near LOBBY LIFT B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=fac2c822f8
Foot Locker,G-22-25,,Basement near Lobby Lift C,Sport & Lifestyle,https://lippomallpuri.com/tenantDetail?tenant=866e86995e
FRANCIS ARTISAN BAKERY,LG-35,02122582762,BASEMENT near LOBBY ROCKSTAR GYM,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=6299099d73
FRANK & CO.,UG-35,02129111001,3 near LOBBY LIFT A,Jewellery,https://lippomallpuri.com/tenantDetail?tenant=e1cecee26c
Fun World,2F-K15,,3 near Lobby Lift C,Children Related,https://lippomallpuri.com/tenantDetail?tenant=6730370f76
GADO GADO GANG KANCIL,1F-FOOD AV,,3 near LOBBY LIFT B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=5c5d5885d5
Gamchi,LG-K-20TA,,Basement near Lobby LIFT A,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=f60f898f83
GENKI SUSHI,LG-FOOD HA,Visit Tenant Official Website,BASEMENT near LOBBY ROCKSTAR GYM,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=a70d006d62
Gigi Dental Clinic,LG-02,,3 near Lift C,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=46506a3cc0
Gion Sushi,1F-L1 - 55,,3 near LIFT A,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=6546451a81
GIORDANO,UG-69,02129111091,3 near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=e4a6ae7a4a
Glam On,LG-66,,B near B,"Electronics, Gadgets, HP",https://lippomallpuri.com/tenantDetail?tenant=63345d4593
Glamify,LG-87,,3 near Lift B,Entertainment,https://lippomallpuri.com/tenantDetail?tenant=df242427d8
GLOBAL ART,B-15A,,B near Lobby Lift A,Children Related,https://lippomallpuri.com/tenantDetail?tenant=d63d65cd7c
GNC LIVE WELL,LG-81A,02129111345,BASEMENT near LOBBY LIFT B,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=2bce6dde35
GO WORK,G-102,Visit Tenant Official Website,BASEMENT near LOBBY LIFT C,Services,https://lippomallpuri.com/tenantDetail?tenant=efe6e5029e
GOKANA RAMEN & TEPPAN,2F-61,Visit Tenant Official Website,3 near LOBBY LIFT C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=739cc8d6fc
